Title;Company;Location;Date;Link
Junior Data Analyst – Lisboa - (W/M);Capgemini Engineering;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/junior-data-analyst-%E2%80%93-lisboa-w-m-at-capgemini-engineering-2706615615?refId=dTvHnU0j%2FnLue6XvqwK2xA%3D%3D&trackingId=8NqQaelEVV275ziVxQTJ2w%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst;Habber Tec Portugal;Lisboa, Portugal;Há 2 dias;https://pt.linkedin.com/jobs/view/data-analyst-at-habber-tec-portugal-2715542615?refId=dTvHnU0j%2FnLue6XvqwK2xA%3D%3D&trackingId=PtIKG6afo0vcJiMACJMjKQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst;Winning;Lisboa, Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/data-analyst-at-winning-2714653577?refId=dTvHnU0j%2FnLue6XvqwK2xA%3D%3D&trackingId=pEERG4mptODwo8AOh3l4IA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst | Lisbon;TIMWETECH;Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/data-analyst-lisbon-at-timwetech-2711454943?refId=dTvHnU0j%2FnLue6XvqwK2xA%3D%3D&trackingId=yOExDjr2Rb30hkhhIBbvSA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst - Pingo Doce;Jerónimo Martins;Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/data-analyst-pingo-doce-at-jer%C3%B3nimo-martins-2711460512?refId=dTvHnU0j%2FnLue6XvqwK2xA%3D%3D&trackingId=XgVNn%2FU8gJWpPZkjIh5ZVg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst (m/f);Teleperformance;Lisboa, Portugal;Há 1 dia;https://pt.linkedin.com/jobs/view/data-analyst-m-f-at-teleperformance-2668520464?refId=dTvHnU0j%2FnLue6XvqwK2xA%3D%3D&trackingId=ejG4o83mZQculw4bk5AznQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst;Synergie Portugal;Lisboa, Lisboa, Portugal;Há 3 semanas;https://pt.linkedin.com/jobs/view/data-analyst-at-synergie-portugal-2701164410?refId=dTvHnU0j%2FnLue6XvqwK2xA%3D%3D&trackingId=iZUYsNmmBX%2FbwCHhlCfc8A%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst (M/F);Michael Page;Lisboa, Lisboa, Portugal;Há 4 dias;https://pt.linkedin.com/jobs/view/data-analyst-m-f-at-michael-page-2713324569?refId=dTvHnU0j%2FnLue6XvqwK2xA%3D%3D&trackingId=0DMAAueT%2FidTkjpHjXHgew%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Junior Data analyst (m/f);Match Profiler;Lisboa, Lisboa, Portugal;Há 4 semanas;https://pt.linkedin.com/jobs/view/junior-data-analyst-m-f-at-match-profiler-2693468019?refId=dTvHnU0j%2FnLue6XvqwK2xA%3D%3D&trackingId=pWV3isR4IxM%2BAuVTshgKEw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst - Banco (vínculo direto) - Porto;Log Partners;Lisboa, Lisboa, Portugal;Há 2 dias;https://pt.linkedin.com/jobs/view/data-analyst-banco-v%C3%ADnculo-direto-porto-at-log-partners-2721630759?refId=dTvHnU0j%2FnLue6XvqwK2xA%3D%3D&trackingId=m1VvlSp6eYH2IuLwhhSSOw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst (m/f);Mind Source;Lisboa, Lisboa, Portugal;Há 1 mês;https://pt.linkedin.com/jobs/view/data-analyst-m-f-at-mind-source-2684976079?refId=dTvHnU0j%2FnLue6XvqwK2xA%3D%3D&trackingId=x1Tn6dlfRs5EDjJTy2C9cQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst | Client Analytics;BNP Paribas CIB;Lisboa, Lisboa, Portugal;Há 3 semanas;https://pt.linkedin.com/jobs/view/data-analyst-client-analytics-at-bnp-paribas-cib-2701713202?refId=dTvHnU0j%2FnLue6XvqwK2xA%3D%3D&trackingId=dBfJobljF6PGegTUU8aM5Q%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
Data analyst (m/f);Match Profiler;Lisboa, Lisboa, Portugal;Há 4 semanas;https://pt.linkedin.com/jobs/view/data-analyst-m-f-at-match-profiler-2692203534?refId=dTvHnU0j%2FnLue6XvqwK2xA%3D%3D&trackingId=Rvk7wEZpHpt2m9WLSAWzQQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
Senior Data Analyst | Lisbon;Loggi;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/senior-data-analyst-lisbon-at-loggi-2655493164?refId=dTvHnU0j%2FnLue6XvqwK2xA%3D%3D&trackingId=TV7QZh27n0bouyvSbiygbQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst (M/F) - Algés;Securitas Direct by Verisure;Algés, Lisboa, Portugal;Há 3 horas;https://pt.linkedin.com/jobs/view/data-analyst-m-f-alg%C3%A9s-at-securitas-direct-by-verisure-2720232575?refId=dTvHnU0j%2FnLue6XvqwK2xA%3D%3D&trackingId=c3hZ%2BmwG4chQPO1BIntcZg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst (m/f);Passio Consulting;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/data-analyst-m-f-at-passio-consulting-2718853155?refId=dTvHnU0j%2FnLue6XvqwK2xA%3D%3D&trackingId=GMuE8BEc6EqmlNi6bKOJCg%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst | Remote Friendly Policy;Tamanna.com;Lisboa, Lisboa, Portugal;Há 2 meses;https://pt.linkedin.com/jobs/view/data-analyst-remote-friendly-policy-at-tamanna-com-2696210292?refId=dTvHnU0j%2FnLue6XvqwK2xA%3D%3D&trackingId=j4b1YPegYmjHReNChrWFJw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst (M/F);TalentSeed;Lisboa, Lisboa, Portugal;Há 4 dias;https://pt.linkedin.com/jobs/view/data-analyst-m-f-at-talentseed-2719804041?refId=dTvHnU0j%2FnLue6XvqwK2xA%3D%3D&trackingId=j1JINgNsKM%2FD4cr%2FlGR3gQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
Tableau Data Analyst;BNP Paribas CIB;Lisboa, Lisboa, Portugal;Há 3 semanas;https://pt.linkedin.com/jobs/view/tableau-data-analyst-at-bnp-paribas-cib-2702713876?refId=dTvHnU0j%2FnLue6XvqwK2xA%3D%3D&trackingId=JayBScxe%2B%2BwaGlRWL5RgSA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst (Google Cloud);KnowledgeWorks;Lisboa, Lisboa, Portugal;Há 18 horas;https://pt.linkedin.com/jobs/view/data-analyst-google-cloud-at-knowledgeworks-2723161527?refId=dTvHnU0j%2FnLue6XvqwK2xA%3D%3D&trackingId=%2F09%2BLc4Y8sbAMYnSfV2ZmQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst;BOLD by Devoteam;Lisboa, Lisboa, Portugal;Há 12 meses;https://pt.linkedin.com/jobs/view/data-analyst-at-bold-by-devoteam-1523468695?refId=dTvHnU0j%2FnLue6XvqwK2xA%3D%3D&trackingId=uyJweiWkD%2FGBNXLamCbAbA%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
