Title;Company;Location;Date;Link
Business Analyst;First Point Group;Lisboa, Portugal;Há 7 horas;https://pt.linkedin.com/jobs/view/business-analyst-at-first-point-group-2719798195?refId=0vAoucJjzHw%2BVbsdgcdQpQ%3D%3D&trackingId=%2BgnnsUnPn9O%2BNkuPfYov%2Bw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Business Analyst;Winning;Lisboa, Lisboa, Portugal;Há 22 horas;https://pt.linkedin.com/jobs/view/business-analyst-at-winning-2723059057?refId=0vAoucJjzHw%2BVbsdgcdQpQ%3D%3D&trackingId=TMVHSGHwrImuXO9VDYq8HA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Business Analyst;Capgemini;Lisboa, Portugal;Há 4 dias;https://pt.linkedin.com/jobs/view/business-analyst-at-capgemini-2718116475?refId=0vAoucJjzHw%2BVbsdgcdQpQ%3D%3D&trackingId=rwgpaUBOJLA%2B3PFLXiObRg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Business Analyst;Accenture Portugal;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/business-analyst-at-accenture-portugal-2704375925?refId=0vAoucJjzHw%2BVbsdgcdQpQ%3D%3D&trackingId=7z%2Bk85n%2FrYoHaXcSjIrk0w%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Lead Business Analyst;Just Eat Takeaway.com;Lisboa, Portugal;Há 3 dias;https://pt.linkedin.com/jobs/view/lead-business-analyst-at-just-eat-takeaway-com-2715959621?refId=0vAoucJjzHw%2BVbsdgcdQpQ%3D%3D&trackingId=tQ%2B71aN%2F1oCY%2FWENDTST0Q%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Business Analyst;BI4ALL;Lisboa, Lisboa, Portugal;Há 4 dias;https://pt.linkedin.com/jobs/view/business-analyst-at-bi4all-2718180024?refId=0vAoucJjzHw%2BVbsdgcdQpQ%3D%3D&trackingId=TlX8JyeO0qPMfmDvatsurw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Business Analyst (m/f);QiBit Portugal;Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/business-analyst-m-f-at-qibit-portugal-2704726708?refId=0vAoucJjzHw%2BVbsdgcdQpQ%3D%3D&trackingId=2EwQtFDwR4fS5AT%2FKKyGiA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Business Analyst - (W/M);Capgemini Engineering;Lisboa, Portugal;Há 1 mês;https://pt.linkedin.com/jobs/view/business-analyst-w-m-at-capgemini-engineering-2612071874?refId=0vAoucJjzHw%2BVbsdgcdQpQ%3D%3D&trackingId=2FBbLBaCpNsAN803LInlAw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Business Analyst;PrimeIT;Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/business-analyst-at-primeit-2707290052?refId=0vAoucJjzHw%2BVbsdgcdQpQ%3D%3D&trackingId=trTvzWIaOQRcbp14d7nxKg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Business Analyst (m/f);NBCC Consulting;Lisboa, Portugal;Há 3 dias;https://pt.linkedin.com/jobs/view/business-analyst-m-f-at-nbcc-consulting-2715993792?refId=0vAoucJjzHw%2BVbsdgcdQpQ%3D%3D&trackingId=aVB1QTUkembF%2BDtZleT%2B%2Fg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
Business Analyst;Prime It;Lisboa, Portugal;Há 3 dias;https://pt.linkedin.com/jobs/view/business-analyst-at-prime-it-2675120616?refId=0vAoucJjzHw%2BVbsdgcdQpQ%3D%3D&trackingId=%2B9ds57tue7wnkCJ35kyKLQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
