Title;Company;Location;Date;Link
Data & Analytic Expert;Nestlé;Lisboa, Lisboa, Portugal;Há 1 mês;https://pt.linkedin.com/jobs/view/data-analytic-expert-at-nestl%C3%A9-2714193242?refId=b%2FAcPKEONbY3TGOElwmpUg%3D%3D&trackingId=cECn8lhpsObw5FWCcZciZg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Tableau Data Analyst;BNP Paribas CIB;Lisboa, Lisboa, Portugal;Há 3 semanas;https://pt.linkedin.com/jobs/view/tableau-data-analyst-at-bnp-paribas-cib-2702713876?refId=b%2FAcPKEONbY3TGOElwmpUg%3D%3D&trackingId=%2BX%2F82N1lzg6PD4fsAw3yKw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Junior Data Analyst – Lisboa - (W/M);Capgemini Engineering;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/junior-data-analyst-%E2%80%93-lisboa-w-m-at-capgemini-engineering-2706615615?refId=b%2FAcPKEONbY3TGOElwmpUg%3D%3D&trackingId=Zys60DXHmnmR%2BoVejH3ezA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst;Winning;Lisboa, Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/data-analyst-at-winning-2714653577?refId=b%2FAcPKEONbY3TGOElwmpUg%3D%3D&trackingId=lYSlG9N0R6nTixvs44F0BQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst (Google Cloud);KnowledgeWorks;Lisboa, Lisboa, Portugal;Há 19 horas;https://pt.linkedin.com/jobs/view/data-analyst-google-cloud-at-knowledgeworks-2723161527?refId=b%2FAcPKEONbY3TGOElwmpUg%3D%3D&trackingId=F%2F3cMIpte9vp%2BBP5%2Byn8gA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst / Market Research;Michael Page;Lisboa, Lisboa, Portugal;Há 13 horas;https://pt.linkedin.com/jobs/view/data-analyst-market-research-at-michael-page-2723513681?refId=b%2FAcPKEONbY3TGOElwmpUg%3D%3D&trackingId=y7B9F%2BCjnmmj6gbr%2BlZgpQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst (m/f);Teleperformance;Lisboa, Portugal;Há 1 dia;https://pt.linkedin.com/jobs/view/data-analyst-m-f-at-teleperformance-2668520464?refId=b%2FAcPKEONbY3TGOElwmpUg%3D%3D&trackingId=EcQWay8If%2FrAktdVKjS2EA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst - Pingo Doce;Jerónimo Martins;Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/data-analyst-pingo-doce-at-jer%C3%B3nimo-martins-2711460512?refId=b%2FAcPKEONbY3TGOElwmpUg%3D%3D&trackingId=ZlN5pvU1eH2%2FtYtjAd3K9w%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Valuation Data Analyst;BNP Paribas CIB;Lisboa, Lisboa, Portugal;Há 1 mês;https://pt.linkedin.com/jobs/view/valuation-data-analyst-at-bnp-paribas-cib-2705607776?refId=b%2FAcPKEONbY3TGOElwmpUg%3D%3D&trackingId=iSqWaA%2Bxnr99X%2FcwAmlqiw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst | Lisbon;TIMWETECH;Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/data-analyst-lisbon-at-timwetech-2711454943?refId=b%2FAcPKEONbY3TGOElwmpUg%3D%3D&trackingId=EOMPcvf36tsSQlwi%2FVvugA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
