Title;Company;Location;Date;Link
Data Reporting Analyst ( Tableau/ SQL);Axians Portugal;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/data-reporting-analyst-tableau-sql-at-axians-portugal-2713259269?refId=QvjjXWVsF9suCejySNQGzQ%3D%3D&trackingId=eugTWmx51CofYc6IWz6NzQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Reporting Analyst;Winning;Lisboa, Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/data-reporting-analyst-at-winning-2714985217?refId=QvjjXWVsF9suCejySNQGzQ%3D%3D&trackingId=jcWCitmp6HL6w7JHJbOf4Q%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Reporting Analyst;BNP Paribas CIB;Lisboa, Lisboa, Portugal;Há 3 semanas;https://pt.linkedin.com/jobs/view/data-reporting-analyst-at-bnp-paribas-cib-2701712289?refId=QvjjXWVsF9suCejySNQGzQ%3D%3D&trackingId=3rQr8JfHZTgTqOoIBTOR5A%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Reporting Analyst ( Tableau/ Sql);Axianspt;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/data-reporting-analyst-tableau-sql-at-axianspt-2709693958?refId=QvjjXWVsF9suCejySNQGzQ%3D%3D&trackingId=QqYEXZpZCg0otZgWMBsfDw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Reporting Analyst;NEX T Engineering;Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/data-reporting-analyst-at-nex-t-engineering-2711129078?refId=QvjjXWVsF9suCejySNQGzQ%3D%3D&trackingId=RPAoUBXQSawnzw3nVSnbvw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Finance and data reporting specialist M/F;Solvay;Carnaxide, Lisboa, Portugal;Há 1 mês;https://pt.linkedin.com/jobs/view/finance-and-data-reporting-specialist-m-f-at-solvay-2710160054?refId=QvjjXWVsF9suCejySNQGzQ%3D%3D&trackingId=9zI4XSWw67yZJjkcznSJOw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Analytics Engineer;Tripadvisor;Lisboa, Lisboa, Portugal;Há 3 dias;https://pt.linkedin.com/jobs/view/analytics-engineer-at-tripadvisor-2690540103?refId=QvjjXWVsF9suCejySNQGzQ%3D%3D&trackingId=lLUxwaCe0MVzprzvOrvsDg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Analytics Engineering Manager;Tripadvisor;Lisboa, Lisboa, Portugal;Há 1 dia;https://pt.linkedin.com/jobs/view/analytics-engineering-manager-at-tripadvisor-2697803581?refId=QvjjXWVsF9suCejySNQGzQ%3D%3D&trackingId=AwGBxJEAFiLcecDO9NKq4Q%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Corporate Reporting & Data Quality Analyst;Hiscox;Lisboa, Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/corporate-reporting-data-quality-analyst-at-hiscox-2683950460?refId=QvjjXWVsF9suCejySNQGzQ%3D%3D&trackingId=y%2BLrT0wwSKizoivamr0P5Q%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Senior Corporate Reporting & Data Quality Analyst;Hiscox;Lisboa, Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/senior-corporate-reporting-data-quality-analyst-at-hiscox-2683948815?refId=QvjjXWVsF9suCejySNQGzQ%3D%3D&trackingId=7U3k4CkX0CCBvGn6GLZ0Ew%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
Procurement/finance data & reporting specialist M/F;Solvay;Carnaxide, Lisboa, Portugal;Há 4 semanas;https://pt.linkedin.com/jobs/view/procurement-finance-data-reporting-specialist-m-f-at-solvay-2720198213?refId=QvjjXWVsF9suCejySNQGzQ%3D%3D&trackingId=Kz%2FIZeknEguUe7oHIzhGcw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
Junior Financial Controller;OLX Group;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/junior-financial-controller-at-olx-group-2707275553?refId=QvjjXWVsF9suCejySNQGzQ%3D%3D&trackingId=3d354okc0lZy3G5CHUQa4w%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
Analytics Engineering Manager;Trip Advisor;Lisboa, Lisboa, Portugal;Há 3 semanas;https://pt.linkedin.com/jobs/view/analytics-engineering-manager-at-trip-advisor-2700113847?refId=QvjjXWVsF9suCejySNQGzQ%3D%3D&trackingId=GKLEzxzVgPwT%2F8gkcAI%2FOA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
Project Manager;BNP Paribas CIB;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/project-manager-at-bnp-paribas-cib-2587560848?refId=QvjjXWVsF9suCejySNQGzQ%3D%3D&trackingId=c2S6TRYfcr40pn1Jp%2FfUSg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
HR SC Data Quality & Reporting Specialist;Solvay;Carnaxide, Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/hr-sc-data-quality-reporting-specialist-at-solvay-2690466722?refId=QvjjXWVsF9suCejySNQGzQ%3D%3D&trackingId=z8eCHKdgA1F2bv8Z0NKXDQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
Solutions Architect (Digital Transformation);OLX Group;Lisboa, Lisboa, Portugal;Há 4 semanas;https://pt.linkedin.com/jobs/view/solutions-architect-digital-transformation-at-olx-group-2687485857?refId=QvjjXWVsF9suCejySNQGzQ%3D%3D&trackingId=bIEcgPPHdOIgc5C0HB%2BfNw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
