Title;Company;Location;Date;Link
Junior Data Analyst – Lisboa - (W/M);Capgemini Engineering;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/junior-data-analyst-%E2%80%93-lisboa-w-m-at-capgemini-engineering-2706615615?refId=%2By3oUAqZktAupy3ksOyP6w%3D%3D&trackingId=UeicAqIbH9cxPuaF9aIS1Q%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst;Winning;Lisboa, Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/data-analyst-at-winning-2714653577?refId=%2By3oUAqZktAupy3ksOyP6w%3D%3D&trackingId=XlwA5sTfLHGTaCcTgmzdlg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Junior Data analyst (m/f);Match Profiler;Lisboa, Lisboa, Portugal;Há 4 semanas;https://pt.linkedin.com/jobs/view/junior-data-analyst-m-f-at-match-profiler-2693468019?refId=%2By3oUAqZktAupy3ksOyP6w%3D%3D&trackingId=MHonR2ucgX%2BxN53AKkMM4w%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst (m/f);Teleperformance;Lisboa, Portugal;Há 1 dia;https://pt.linkedin.com/jobs/view/data-analyst-m-f-at-teleperformance-2668520464?refId=%2By3oUAqZktAupy3ksOyP6w%3D%3D&trackingId=uFVSDkVT%2F9D0eDfXa45XNQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst - Pingo Doce;Jerónimo Martins;Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/data-analyst-pingo-doce-at-jer%C3%B3nimo-martins-2711460512?refId=%2By3oUAqZktAupy3ksOyP6w%3D%3D&trackingId=HApsueNcmkXejS6mL%2FL2KQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst - Banco (vínculo direto) - Porto;Log Partners;Lisboa, Lisboa, Portugal;Há 2 dias;https://pt.linkedin.com/jobs/view/data-analyst-banco-v%C3%ADnculo-direto-porto-at-log-partners-2721630759?refId=%2By3oUAqZktAupy3ksOyP6w%3D%3D&trackingId=VgKG5QN1lCHZoErwuHkwZg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst;Synergie Portugal;Lisboa, Lisboa, Portugal;Há 3 semanas;https://pt.linkedin.com/jobs/view/data-analyst-at-synergie-portugal-2701164410?refId=%2By3oUAqZktAupy3ksOyP6w%3D%3D&trackingId=%2FFy28aJjU6nHUXnO64enVg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst | Lisbon;TIMWETECH;Lisboa, Portugal;Há 1 semana;https://pt.linkedin.com/jobs/view/data-analyst-lisbon-at-timwetech-2711454943?refId=%2By3oUAqZktAupy3ksOyP6w%3D%3D&trackingId=JhXCeMpEb2%2F2hH0AokkhcQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst (M/F);Michael Page;Lisboa, Lisboa, Portugal;Há 4 dias;https://pt.linkedin.com/jobs/view/data-analyst-m-f-at-michael-page-2713324569?refId=%2By3oUAqZktAupy3ksOyP6w%3D%3D&trackingId=L0ctW4z4VDCEYdkb8T77bw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst (m/f);Mind Source;Lisboa, Lisboa, Portugal;Há 1 mês;https://pt.linkedin.com/jobs/view/data-analyst-m-f-at-mind-source-2684976079?refId=%2By3oUAqZktAupy3ksOyP6w%3D%3D&trackingId=reihHc4T5KShmO8rldPzxA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
Senior Data Analyst | Lisbon;Loggi;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/senior-data-analyst-lisbon-at-loggi-2655493164?refId=%2By3oUAqZktAupy3ksOyP6w%3D%3D&trackingId=wwPPiGMl15FwB95lUONPDw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst (M/F) - Algés;Securitas Direct by Verisure;Algés, Lisboa, Portugal;Há 4 minutos;https://pt.linkedin.com/jobs/view/data-analyst-m-f-alg%C3%A9s-at-securitas-direct-by-verisure-2720232575?refId=%2By3oUAqZktAupy3ksOyP6w%3D%3D&trackingId=%2FTKdkp0xeyJOe2FREPHEhQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst | Client Analytics;BNP Paribas CIB;Lisboa, Lisboa, Portugal;Há 3 semanas;https://pt.linkedin.com/jobs/view/data-analyst-client-analytics-at-bnp-paribas-cib-2701713202?refId=%2By3oUAqZktAupy3ksOyP6w%3D%3D&trackingId=UTElqhjTocoKraAtz2dTXw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst / Market Research;Michael Page;Lisboa, Lisboa, Portugal;Há 10 horas;https://pt.linkedin.com/jobs/view/data-analyst-market-research-at-michael-page-2723513681?refId=%2By3oUAqZktAupy3ksOyP6w%3D%3D&trackingId=diz2vop4QWx3a3w6GQGfgw%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
Data analyst (m/f);Match Profiler;Lisboa, Lisboa, Portugal;Há 4 semanas;https://pt.linkedin.com/jobs/view/data-analyst-m-f-at-match-profiler-2692203534?refId=%2By3oUAqZktAupy3ksOyP6w%3D%3D&trackingId=wx3stbv9G%2FNEg4fiZtl5pg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
SMART Data Analyst | Lisboa;Smart Consulting;Lisboa, Lisboa, Portugal;Há 3 dias;https://pt.linkedin.com/jobs/view/smart-data-analyst-lisboa-at-smart-consulting-2720962498?refId=%2By3oUAqZktAupy3ksOyP6w%3D%3D&trackingId=7fHAsqXX4kn8xGAbwfBCPA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
Oferta: Data Analyst (m/f);NBCC;Lisboa, Lisboa, Portugal;Há 4 semanas;https://pt.linkedin.com/jobs/view/oferta-data-analyst-m-f-at-nbcc-2723051070?refId=%2By3oUAqZktAupy3ksOyP6w%3D%3D&trackingId=oAMS%2FKuQahY4ppIyELjHNA%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst (m/f);Passio Consulting;Lisboa, Lisboa, Portugal;Há 2 semanas;https://pt.linkedin.com/jobs/view/data-analyst-m-f-at-passio-consulting-2718853155?refId=%2By3oUAqZktAupy3ksOyP6w%3D%3D&trackingId=9dgGo4VfsO50YYc2YgpQQQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
SMART Data Analyst | Lisboa;Smart Consulting;Lisboa, Lisboa, Portugal;Há 5 dias;https://pt.linkedin.com/jobs/view/smart-data-analyst-lisboa-at-smart-consulting-2718207673?refId=%2By3oUAqZktAupy3ksOyP6w%3D%3D&trackingId=FOvG34sRRMmKsMhjf05lNw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
